"","req","X","cplx","complexity","author","owner","nuc","form","procedural","location","level","textorder","dependencies","coherence","steps","steps.functional","steps.beyond","steps.mis.variations","steps.mis.main","steps.consistent","sequence.main","sequence.alt","numbering","entities","actors","actors_explicit","totalinteractions","interactions","pureinteractions","consecutive","month","lambda","s2"
"125","req21",21,"Low Complexity",1,"author26","owner2",5,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-11-01,80,74
"126","req210",210,"Low Complexity",1,"author25","owner3",2,"description",1,"Business Background","Business",1,1,0.332794301095419,4.5,2.5,0,0,0.5,0,1,1,1,0,0,0,11,5.5,2,4.5,2022-07-01,65,67
"127","req211",211,"High Complexity",3,"author22","owner7",2,"description",1,"default","Business",1,0.5,0.396278528147377,8,7.5,1,1.5,0,1.5,1,1,1,1,0.5,0,16,8,3.5,5.5,2022-12-01,135,128
"128","req212",212,"Low Complexity",1,"author30","owner4",2,"description",1,"Solution Proposal","Business",0.5,1,0.598698167130351,6,5,1,1.5,1.5,2,1,1,1,2,1,0.5,15,7.5,3.5,5.5,2020-04-01,75,70
"129","req213",213,"High Complexity",3,"author20","owner2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,115,102
"130","req214",214,"Medium Complexity",2,"author25","owner10",1,"description",1,"Solution Proposal","System",1,1,0.251568838953972,6,5,2,2,1,0,1,1,1,2,2,1,9,9,3,8,2021-10-01,110,126
"131","req215",215,"High Complexity",3,"author20","owner10",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-06-01,125,127
"132","req216",216,"High Complexity",3,"author25","owner7",3,"description",1,"Business Background","System",1,1,0.553943809897949,7.66666666666667,6,0,2.66666666666667,0.666666666666667,1,1,1,1,1,0.333333333333333,0.333333333333333,27,9,2.66666666666667,3.66666666666667,2023-09-01,130,123
"133","req217",217,"Low Complexity",1,"author17","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-12-01,60,52
"134","req218",218,"Low Complexity",1,"author11","owner1",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-06-01,70,73
"135","req219",219,"Medium Complexity",2,"author3","owner2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-05-01,100,101
"136","req22",22,"Medium Complexity",2,"author20","owner8",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-03-01,90,89
"137","req220",220,"High Complexity",3,"author3","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-11-01,120,114
"138","req221",221,"Medium Complexity",2,"author30","owner5",2,"description",1,"Business Requirements","System",1,0.5,0.35982272552792,6.5,6,3,3,0.5,0.5,1,0.5,1,0,0,0,18,9,2,4,2021-08-01,125,137
"139","req222",222,"Low Complexity",1,"author28","owner5",4,"description",1,"Solution Proposal","(no level)",1,1,0.497017295798287,6.5,5.25,1.75,1.5,0.25,1,1,1,1,0.75,0.25,0,35,8.75,2,4.75,2021-06-01,92.5,104
"140","req223",223,"Medium Complexity",2,"author23","owner9",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-08-01,95,87
"141","req224",224,"Medium Complexity",2,"author26","owner7",2,"description",1,"Business Background","(no level)",1,1,0.608041622792371,6.5,5,0.5,0.5,1,1,1,1,1,0.5,0.5,0.5,17,8.5,4,4.5,2021-04-01,100,101
"142","req225",225,"Low Complexity",1,"author9","owner9",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-09-01,60,46
"143","req226",226,"Medium Complexity",2,"author14","owner4",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-07-01,95,86
"144","req227",227,"High Complexity",3,"author5","owner5",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-06-01,125,123
"145","req228",228,"Low Complexity",1,"author30","owner9",1,"description",1,"default","System",1,1,0.969555046642199,7,4,1,0,0,1,1,1,1,2,2,2,9,9,6,3,2024-10-01,70,69
"146","req229",229,"High Complexity",3,"author13","owner9",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-03-01,120,107
"147","req23",23,"Medium Complexity",2,"author5","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-05-01,90,96
"148","req230",230,"Low Complexity",1,"author14","owner9",2,"description",1,"Business Background","System",1,1,0.518916524713859,6,4.5,1.5,0.5,0.5,0.5,1,0.5,1,0,0,0,17,8.5,1.5,4,2023-11-01,80,73
"149","req231",231,"Low Complexity",1,"author13","owner2",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-04-01,60,64
"150","req232",232,"Medium Complexity",2,"author8","owner1",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-03-01,90,109
"151","req233",233,"Medium Complexity",2,"author5","owner10",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-06-01,100,114
"152","req234",234,"Medium Complexity",2,"author13","owner2",1,"description",1,"Business Requirements","System",1,1,0.126424229936674,6,6,0,3,1,0,1,1,1,0,0,0,8,8,4,8,2024-03-01,90,87
"153","req235",235,"Low Complexity",1,"author22","owner1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-01,55,66
"154","req236",236,"Medium Complexity",2,"author27","owner5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-01,85,87
"155","req237",237,"Low Complexity",1,"author27","owner3",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-07-01,70,75
"156","req238",238,"Medium Complexity",2,"author5","owner2",1,"description",1,"default","Business",1,1,0.1307283192873,6,6,1,0,0,0,1,1,1,1,1,0,5,5,1,3,2023-07-01,100,97
"157","req239",239,"High Complexity",3,"author13","owner3",1,"description",1,"default","System",1,1,0.50493233371526,8,6,0,0,0,0,1,1,1,1,1,0,7,7,3,2,2021-04-01,120,129
"158","req24",24,"High Complexity",3,"author17","owner7",3,"description",1,"default","Business",1,1,0.0688147673693796,8.66666666666667,7,1,0,0.333333333333333,0.666666666666667,1,1,1,0,0,0,26,8.66666666666667,2,5.66666666666667,2024-07-01,140,148
"159","req240",240,"Medium Complexity",2,"author20","owner9",2,"description",1,"Solution Proposal","Business",1,1,0.176904903026298,7,5.5,1.5,1,1.5,2,1,1,1,1.5,1,0,19,9.5,2.5,5,2020-12-01,110,97
"160","req241",241,"Medium Complexity",2,"author13","owner8",2,"description",1,"default","Business",1,1,0.731073357281275,6.5,5.5,0.5,1.5,1,0.5,1,1,1,0.5,0,0,14,7,1,5,2020-06-01,100,100
"161","req242",242,"Medium Complexity",2,"author10","owner3",2,"description",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-07-01,95,89
"162","req243",243,"Low Complexity",1,"author19","owner6",1,"description",1,"default","Business",1,1,0.307402237784117,7,7,0,0,0,0,1,1,1,2,1,0,6,6,4,6,2021-03-01,60,54
"163","req244",244,"Low Complexity",1,"author25","owner8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-01,55,45
"164","req245",245,"High Complexity",3,"author22","owner1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-01,115,111
"165","req246",246,"Medium Complexity",2,"author10","owner8",2,"description",1,"Business Requirements","System",1,1,0.809293941478245,6,5.5,0.5,2.5,0.5,0.5,0.5,1,1,1,0.5,0,14,7,1,5,2023-03-01,100,96
"166","req247",247,"High Complexity",3,"author25","owner2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-01,115,117
"167","req248",248,"High Complexity",3,"author25","owner4",1,"description",1,"Business Background","System",1,1,0.555078257573768,9,9,0,2,0,2,1,1,1,2,1,1,9,9,5,4,2020-08-01,120,135
"168","req249",249,"Low Complexity",1,"author21","owner2",4,"description",1,"Solution Proposal","User",1,1,0.576606812712271,6,4.75,1,1.25,0.5,0.75,0.75,1,1,1,0.75,0.25,29,7.25,3,4,2024-01-01,85,88
"169","req25",25,"High Complexity",3,"author17","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-01,115,119
"170","req250",250,"Medium Complexity",2,"author27","owner3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-01,85,91
"171","req251",251,"High Complexity",3,"author4","owner1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-10-01,125,124
"172","req252",252,"Low Complexity",1,"author23","owner10",3,"description",1,"Solution Proposal","Business",0.666666666666667,1,0.397395824004586,5.33333333333333,4,1.66666666666667,0.333333333333333,0.333333333333333,1,1,1,1,0.666666666666667,0.666666666666667,0,17,5.66666666666667,3,2,2023-06-01,86.6666666666667,83
"173","req253",253,"Low Complexity",1,"author26","owner4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-01,55,59
"174","req254",254,"Low Complexity",1,"author3","owner5",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-07-01,60,51
"175","req255",255,"Medium Complexity",2,"author26","owner4",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-06-01,90,91
"176","req256",256,"Low Complexity",1,"author5","owner6",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-06-01,70,69
"177","req257",257,"Low Complexity",1,"author19","owner9",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-05-01,70,70
"178","req258",258,"Low Complexity",1,"author30","owner10",3,"description",1,"Business Background","System",1,0.666666666666667,0.134093979063133,6.33333333333333,5,0.333333333333333,0.666666666666667,0.333333333333333,1,1,1,1,0.666666666666667,0.333333333333333,0.333333333333333,23,7.66666666666667,4,4,2022-04-01,73.3333333333333,79
"179","req259",259,"Medium Complexity",2,"author26","owner9",2,"description",1,"default","(no level)",1,1,0.912867457023822,8,6,1.5,2,0.5,1.5,1,1,1,1.5,1,0.5,18,9,4,3.5,2023-08-01,110,106
"180","req26",26,"Medium Complexity",2,"author9","owner1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-10-01,85,72
"181","req260",260,"Low Complexity",1,"author20","owner7",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-03-01,70,69
"182","req261",261,"Medium Complexity",2,"author20","owner7",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-06-01,100,107
"183","req262",262,"High Complexity",3,"author29","owner10",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-11-01,130,141
"184","req263",263,"Low Complexity",1,"author5","owner7",2,"description",1,"Solution Proposal","User",1,1,0.197169574094005,5.5,5.5,2,1,0.5,1,1,1,1,0.5,0,0,13,6.5,2,4.5,2023-04-01,85,99
"185","req264",264,"Low Complexity",1,"author22","owner8",2,"description",1,"Business Background","System",1,1,0.292030629236251,4.5,4,1,0,0.5,0.5,1,0.5,1,1,0.5,0.5,7,3.5,1.5,1.5,2024-06-01,75,76
"186","req265",265,"High Complexity",3,"author18","owner6",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-08-01,120,117
"187","req266",266,"High Complexity",3,"author18","owner3",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-05-01,125,132
"188","req267",267,"High Complexity",3,"author18","owner3",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-06-01,120,118
"189","req268",268,"Medium Complexity",2,"author1","owner9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-01,85,83
"190","req269",269,"Low Complexity",1,"author11","owner10",2,"description",1,"Business Background","Business",1,0.5,0.185368277947418,4.5,3.5,0.5,0.5,0,0.5,1,1,1,1,0.5,0,13,6.5,3.5,4,2022-12-01,70,67
"191","req27",27,"Medium Complexity",2,"author18","owner10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-01,85,78
"192","req270",270,"High Complexity",3,"author30","owner7",2,"description",1,"default","(no level)",1,1,0.911496189888567,10,6.5,1.5,3,0.5,0,1,1,1,1,0.5,0,25,12.5,7,8.5,2022-07-01,140,117
"193","req271",271,"Low Complexity",1,"author23","owner2",4,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-12-01,75,82
"194","req272",272,"High Complexity",3,"author25","owner9",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-02-01,125,131
"195","req273",273,"Medium Complexity",2,"author22","owner3",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-06-01,100,111
"196","req274",274,"High Complexity",3,"author18","owner1",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-07-01,125,137
"197","req275",275,"Medium Complexity",2,"author9","owner8",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-08-01,100,98
"198","req276",276,"Low Complexity",1,"author25","owner9",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-11-01,60,60
"199","req277",277,"High Complexity",3,"author1","owner8",2,"description",1,"Business Background","User",1,0.5,0.391091293073259,6.5,4.5,0,1,2,0.5,1,1,1,1,1,0,14,7,4.5,3.5,2023-07-01,125,124
"200","req278",278,"Medium Complexity",2,"author9","owner5",2,"description",1,"Business Background","User",1,1,0.462073935545049,7,6,1,0.5,1,1.5,1,1,1,0.5,0.5,0,21,10.5,4.5,6,2021-11-01,105,92
"201","req279",279,"High Complexity",3,"author21","owner9",1,"description",1,"default","User",1,1,0.999725037021562,9,7,0,1,0,1,1,1,1,0,0,0,9,9,3,4,2024-03-01,120,115
"202","req28",28,"High Complexity",3,"author1","owner4",3,"description",1,"Solution Proposal","User",1,1,0.825642677179228,8.33333333333333,6.33333333333333,2,2,0.333333333333333,1.66666666666667,1,1,1,0.666666666666667,0.333333333333333,0,26,8.66666666666667,3,4.33333333333333,2021-06-01,150,141
"203","req280",280,"Medium Complexity",2,"author19","owner2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-09-01,85,87
"204","req281",281,"Low Complexity",1,"author8","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-10-01,60,56
"205","req282",282,"High Complexity",3,"author6","owner7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-10-01,115,105
"206","req283",283,"Medium Complexity",2,"author30","owner10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-01,85,87
"207","req284",284,"Low Complexity",1,"author11","owner7",1,"description",1,"Solution Proposal","System",1,1,0.383401637431234,8,5,3,1,1,2,1,1,1,1,1,0,12,12,4,5,2020-08-01,90,90
"208","req285",285,"Low Complexity",1,"author18","owner8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-01,55,59
"209","req286",286,"Low Complexity",1,"author22","owner2",2,"description",1,"Business Requirements","Business",1,1,0.476626898860559,4.5,3.5,1,2.5,0.5,0,1,1,1,1.5,1,0,14,7,5.5,1.5,2021-03-01,75,77
"210","req287",287,"Low Complexity",1,"author29","owner4",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-03-01,65,57
"211","req288",288,"High Complexity",3,"author21","owner2",1,"description",1,"Solution Proposal","(no level)",1,1,0.33005800889805,8,6,3,4,0,0,1,1,1,0,0,0,10,10,3,4,2020-10-01,150,172
"212","req289",289,"Medium Complexity",2,"author22","owner5",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-09-01,100,102
"213","req29",29,"Low Complexity",1,"author28","owner3",1,"description",1,"Business Background","(no level)",1,1,0.0128438505344093,3,2,0,0,1,1,1,0,0,2,1,0,4,4,2,1,2023-02-01,60,69
"214","req290",290,"Low Complexity",1,"author9","owner1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-01,55,50
"215","req291",291,"High Complexity",3,"author14","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-09-01,120,125
"216","req292",292,"Medium Complexity",2,"author15","owner4",2,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-12-01,95,93
"217","req293",293,"High Complexity",3,"author5","owner10",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-02-01,125,133
"218","req294",294,"Medium Complexity",2,"author20","owner3",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-09-01,100,90
"219","req295",295,"High Complexity",3,"author24","owner8",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-08-01,125,143
"220","req296",296,"Medium Complexity",2,"author6","owner3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-11-01,95,97
"221","req297",297,"High Complexity",3,"author29","owner1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-01,115,134
"222","req298",298,"Medium Complexity",2,"author30","owner4",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-05-01,95,99
"223","req299",299,"High Complexity",3,"author23","owner4",3,"description",1,"Business Requirements","System",0.666666666666667,1,0.608613278716802,8.33333333333333,6.66666666666667,0.666666666666667,1.33333333333333,0,1,1,1,1,0.666666666666667,0.333333333333333,0.333333333333333,35,11.6666666666667,5.33333333333333,6.33333333333333,2021-01-01,136.666666666667,117
"224","req3",3,"High Complexity",3,"author24","owner3",2,"description",1,"Solution Proposal","(no level)",1,0.5,0.156094021047466,9.5,8.5,3.5,2,1,0.5,1,1,1,1,0.5,0.5,17,8.5,2.5,5,2023-02-01,160,159
"225","req30",30,"Medium Complexity",2,"author27","owner4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-01,85,91
"226","req300",300,"Low Complexity",1,"author14","owner2",2,"description",1,"Solution Proposal","Business",1,1,0.270627707359381,7,6,3,1.5,1.5,1,1,1,1,1,0,0,16,8,1.5,3.5,2023-12-01,95,98
"227","req301",301,"Low Complexity",1,"author2","owner6",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-11-01,60,65
"228","req302",302,"Low Complexity",1,"author15","owner5",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-05-01,65,52
"229","req303",303,"Medium Complexity",2,"author12","owner10",2,"description",1,"Solution Proposal","User",1,1,0.673185655963607,6,4,2.5,1,1,0,1,1,1,1.5,1,0.5,9,4.5,2,2.5,2020-07-01,120,126
"230","req304",304,"Low Complexity",1,"author6","owner4",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-10-01,60,54
"231","req305",305,"High Complexity",3,"author23","owner3",1,"description",1,"Business Requirements","Business",1,1,0.259493203368038,7,4,0,2,1,0,1,0,1,1,1,0,10,10,5,6,2021-11-01,120,122
"232","req306",306,"High Complexity",3,"author29","owner9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-01,115,110
"233","req307",307,"Medium Complexity",2,"author16","owner6",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-03-01,90,95
"234","req308",308,"Low Complexity",1,"author3","owner5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-01,55,57
"235","req309",309,"Medium Complexity",2,"author5","owner10",3,"description",1,"Business Requirements","Business",1,1,0.681884299498051,6.33333333333333,4.66666666666667,0.666666666666667,0.666666666666667,1.33333333333333,0.333333333333333,1,1,1,1.33333333333333,0.333333333333333,0,21,7,3,4.33333333333333,2023-09-01,106.666666666667,100
"236","req31",31,"Low Complexity",1,"author11","owner9",1,"description",1,"Business Requirements","(no level)",1,1,0.698041235329583,4,3,0,0,0,1,1,1,1,2,1,0,2,2,0,2,2023-09-01,60,79
"237","req310",310,"High Complexity",3,"author18","owner2",2,"description",1,"Business Requirements","System",1,1,0.675883971038274,11,9.5,0,1,0.5,0.5,1,1,1,1,0.5,0,26,13,4,7,2023-08-01,125,125
"238","req311",311,"Medium Complexity",2,"author13","owner3",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-05-01,100,114
"239","req312",312,"High Complexity",3,"author6","owner1",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-01-01,120,113
"240","req313",313,"Medium Complexity",2,"author20","owner2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-01,85,82
"241","req314",314,"High Complexity",3,"author24","owner3",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-07-01,120,118
"242","req315",315,"High Complexity",3,"author18","owner2",1,"description",1,"Solution Proposal","Business",1,0,0.266460098093376,10,8,3,4,0,1,1,1,1,1,0,0,11,11,1,7,2020-05-01,150,146
"243","req316",316,"Medium Complexity",2,"author9","owner10",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-06-01,90,94
"244","req317",317,"Medium Complexity",2,"author4","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-11-01,90,97
"245","req318",318,"Medium Complexity",2,"author23","owner9",2,"description",1,"Business Background","Business",1,0.5,0.37101459747646,8.5,7.5,1,1.5,0.5,1,1,1,1,1.5,0,0,18,9,2,6,2021-02-01,105,95
"246","req319",319,"Low Complexity",1,"author21","owner10",1,"description",1,"default","Business",1,1,0.450181634631008,3,2,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2024-12-01,60,66
"247","req32",32,"High Complexity",3,"author14","owner10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-05-01,115,103
"248","req320",320,"Low Complexity",1,"author28","owner9",2,"description",1,"Business Background","User",1,0,0.318242841400206,6,5,1,1.5,0.5,1,1,1,1,0.5,0.5,0,9,4.5,2.5,3,2020-04-01,75,69
"249","req321",321,"Low Complexity",1,"author9","owner1",1,"description",1,"default","System",1,1,0.25914911320433,5,4,2,2,0,2,1,1,1,1,0,0,7,7,3,4,2020-02-01,80,83
"250","req322",322,"Low Complexity",1,"author3","owner6",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-07-01,70,66
