"","req","ucid","complexity","Form","Procedural","Fields","Location","Level","Text.Order","Dependencies","Coherent","Steps","Functional.Steps","Whitebox.Steps","Misplaced.Variations","Misplaced.Main","Sequence.Main","Sequence.Alt","Numbering","Consistent.Grammar","entities","actors","actors.explicit","interactions","pureinteractions","consecutive"
"350","req298","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","req298","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","req299","uc1",3,"description",TRUE,"title; main scenario; revision history; postconditions; actor; dependencies; preconditions; limitations; solution hints","Business Requirements","System",TRUE,TRUE,0.538568385178223,7,6,0,0,0,TRUE,TRUE,TRUE,0,1,0,0,12,3,4
"353","req299","uc2",3,"description",TRUE,"title; main scenario; revision history; postconditions; actor; dependencies; preconditions; limitations; solution hints","default","System",TRUE,TRUE,0.437141468049958,9,8,0,4,0,TRUE,TRUE,TRUE,0,1,1,1,12,7,8
"354","req299","uc3",3,"description",TRUE,"title; main scenario; revision history; postconditions; actor; dependencies; preconditions; limitations; solution hints","Solution Proposal","(no level)",FALSE,TRUE,0.850129982922226,9,6,2,0,0,TRUE,TRUE,TRUE,3,0,0,0,11,6,7
"355","req3","uc1",3,"description",TRUE,"title; main scenario; limitations; solution hints; additional information; postconditions; preconditions; actor; dependencies","Solution Proposal","(no level)",TRUE,FALSE,0.162544674007222,8,7,2,2,1,TRUE,TRUE,TRUE,0,1,1,1,7,3,5
"356","req3","uc2",3,"description",TRUE,"title; main scenario; limitations; solution hints; additional information; postconditions; preconditions; actor; dependencies","Solution Proposal","System",TRUE,TRUE,0.149643368087709,11,10,5,2,1,TRUE,TRUE,TRUE,1,1,0,0,10,2,5
"357","req300","uc1",1,"description",TRUE,"title; main scenario; solution hints; revision history; dependencies; additional information; limitations","Solution Proposal","Business",TRUE,TRUE,0.00390734849497676,7,7,3,1,2,TRUE,TRUE,TRUE,2,1,0,0,10,3,5
"358","req300","uc2",1,"description",TRUE,"title; main scenario; solution hints; revision history; dependencies; additional information; limitations","Solution Proposal","User",TRUE,TRUE,0.537348066223785,7,5,3,2,1,TRUE,TRUE,TRUE,0,1,0,0,6,0,2
"359","req301","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","req302","uc1",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","req302","uc2",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","req303","uc1",2,"description",TRUE,"title; main scenario; assumptions; solution hints; preconditions; extensions; revision history","Solution Proposal","User",TRUE,TRUE,0.379526834236458,6,6,5,2,2,TRUE,TRUE,TRUE,0,2,2,1,4,2,1
"363","req303","uc2",2,"description",TRUE,"title; main scenario; assumptions; solution hints; preconditions; extensions; revision history","Solution Proposal","Business",TRUE,TRUE,0.966844477690756,6,2,0,0,0,TRUE,TRUE,TRUE,0,1,0,0,5,2,4
"364","req304","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","req305","uc1",3,"description",TRUE,"title; main scenario; preconditions; assumptions; extensions; postconditions","Business Requirements","Business",TRUE,TRUE,0.259493203368038,7,4,0,2,1,TRUE,FALSE,TRUE,0,1,1,0,10,5,6
"366","req307","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","req309","uc1",2,"description",TRUE,"title; main scenario; preconditions; limitations; level; assumptions","Business Requirements","Business",TRUE,TRUE,0.977473982609808,9,7,1,1,2,TRUE,TRUE,TRUE,0,1,1,0,9,5,6
"368","req309","uc2",2,"description",TRUE,"title; main scenario; preconditions; limitations; level; assumptions","Solution Proposal","User",TRUE,TRUE,0.787629384547472,5,3,1,0,1,TRUE,TRUE,TRUE,1,3,0,0,6,3,4
"369","req309","uc3",2,"description",TRUE,"title; main scenario; preconditions; limitations; level; assumptions","Business Requirements","Business",TRUE,TRUE,0.280549531336874,5,4,0,1,1,TRUE,TRUE,TRUE,0,0,0,0,6,1,3
"370","req31","uc1",1,"description",TRUE,"title; main scenario; dependencies; extensions; additional information; solution hints; limitations; revision history; assumptions","Business Requirements","(no level)",TRUE,TRUE,0.698041235329583,4,3,0,0,0,TRUE,TRUE,TRUE,1,2,1,0,2,0,2
"371","req310","uc1",3,"description",TRUE,"title; main scenario; limitations; solution hints; postconditions; additional information","Business Requirements","System",TRUE,TRUE,0.65935989911668,13,12,0,1,0,TRUE,TRUE,TRUE,0,2,1,0,15,7,7
"372","req310","uc2",3,"description",TRUE,"title; main scenario; limitations; solution hints; postconditions; additional information","Business Background","Business",TRUE,TRUE,0.692408042959869,9,7,0,1,1,TRUE,TRUE,TRUE,1,0,0,0,11,1,7
"373","req311","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","req311","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","req311","uc3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","req312","uc1",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","req314","uc1",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","req315","uc1",3,"description",TRUE,"title; main scenario; solution hints; extensions; assumptions; dependencies; additional information; preconditions; level","Solution Proposal","Business",TRUE,FALSE,0.266460098093376,10,8,3,4,0,TRUE,TRUE,TRUE,1,1,0,0,11,1,7
"379","req316","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","req317","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","req318","uc1",2,"description",TRUE,"title; main scenario; solution hints; level; assumptions; actor; extensions; additional information; preconditions; limitations","Business Background","Business",TRUE,FALSE,0.455755010247231,9,7,0,1,0,TRUE,TRUE,TRUE,2,2,0,0,6,1,3
"382","req318","uc2",2,"description",TRUE,"title; main scenario; solution hints; level; assumptions; actor; extensions; additional information; preconditions; limitations","default","(no level)",TRUE,TRUE,0.28627418470569,8,8,2,2,1,TRUE,TRUE,TRUE,0,1,0,0,12,3,9
"383","req319","uc1",1,"description",TRUE,"title; main scenario; dependencies; limitations; assumptions; preconditions; postconditions; additional information","default","Business",TRUE,TRUE,0.450181634631008,3,2,0,0,0,TRUE,TRUE,TRUE,0,1,1,0,2,2,2
"384","req320","uc1",1,"description",TRUE,"title; main scenario; postconditions; actor","Business Background","User",TRUE,FALSE,0.0177564560435712,8,6,0,2,1,TRUE,TRUE,TRUE,2,1,1,0,4,2,2
"385","req320","uc2",1,"description",TRUE,"title; main scenario; postconditions; actor","Solution Proposal","Business",TRUE,FALSE,0.618729226756841,4,4,2,1,0,TRUE,TRUE,TRUE,0,0,0,0,5,3,4
"386","req321","uc1",1,"description",TRUE,"title; main scenario; additional information; actor; level; revision history; limitations","default","System",TRUE,TRUE,0.25914911320433,5,4,2,2,0,TRUE,TRUE,TRUE,2,1,0,0,7,3,4
"387","req322","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","req322","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","req322","uc3",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","req323","uc1",3,"description",TRUE,"title; main scenario; limitations; preconditions; solution hints; additional information; level","default","User",TRUE,TRUE,0.783467594766989,9,6,2,1,0,TRUE,TRUE,TRUE,1,0,0,0,10,4,5
"391","req323","uc2",3,"description",TRUE,"title; main scenario; limitations; preconditions; solution hints; additional information; level","Solution Proposal","User",TRUE,TRUE,0.885912679834291,7,7,1,3,0,TRUE,TRUE,TRUE,0,0,0,0,7,1,5
"392","req324","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","req324","uc2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","req325","uc1",2,"description",TRUE,"title; main scenario; actor; assumptions; dependencies; additional information; preconditions; extensions; solution hints","Business Requirements","System",TRUE,TRUE,0.287792305927724,9,9,1,1,1,TRUE,FALSE,TRUE,0,0,0,0,14,3,11
"395","req328","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","req329","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","req329","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","req329","uc3",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","req329","uc4",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","req33","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","req33","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","req33","uc3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","req33","uc4",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","req330","uc1",3,"description",FALSE,"title; main scenario; level; dependencies; limitations; solution hints; revision history; postconditions; assumptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","req331","uc1",2,"description",TRUE,"title; main scenario; actor; level; postconditions","Solution Proposal","(no level)",TRUE,TRUE,0.58110081939958,7,6,3,4,0,TRUE,TRUE,TRUE,0,2,1,0,8,3,6
"406","req332","uc1",2,"description",TRUE,"title; main scenario; actor; dependencies; revision history; assumptions","Solution Proposal","(no level)",TRUE,TRUE,0.571832136716694,5,4,1,0,0,TRUE,TRUE,TRUE,0,1,1,1,5,5,0
"407","req333","uc1",3,"description",TRUE,"title; main scenario; level; revision history; dependencies; assumptions","Solution Proposal","(no level)",TRUE,TRUE,0.718386551598087,9,7,4,1,1,TRUE,TRUE,TRUE,1,2,0,0,12,6,6
"408","req333","uc2",3,"description",TRUE,"title; main scenario; level; revision history; dependencies; assumptions","Solution Proposal","User",TRUE,TRUE,0.671596717089415,8,8,1,2,2,TRUE,TRUE,TRUE,1,1,0,0,10,2,6
"409","req335","uc1",3,"description",TRUE,"title; main scenario; additional information; limitations; extensions; solution hints; actor; revision history","Business Background","(no level)",TRUE,TRUE,0.694845418445766,8,6,1,0,1,TRUE,TRUE,TRUE,0,1,0,0,11,4,6
"410","req335","uc2",3,"description",TRUE,"title; main scenario; additional information; limitations; extensions; solution hints; actor; revision history","default","Business",TRUE,TRUE,0.161540320143104,8,4,0,0,0,TRUE,TRUE,TRUE,0,1,1,1,9,2,1
"411","req336","uc1",1,"description",TRUE,"title; main scenario; preconditions; postconditions; assumptions; level; solution hints; revision history","Business Background","System",TRUE,TRUE,0.467011003755033,4,2,0,0,0,TRUE,TRUE,TRUE,1,2,1,1,5,1,1
"412","req336","uc2",1,"description",TRUE,"title; main scenario; preconditions; postconditions; assumptions; level; solution hints; revision history","Business Requirements","User",TRUE,TRUE,0.238486221758649,5,3,1,0,1,TRUE,TRUE,TRUE,0,1,0,0,5,0,2
"413","req34","uc1",2,"description",TRUE,"title; main scenario; assumptions; solution hints; postconditions; additional information","Business Requirements","System",TRUE,TRUE,0.163310207659379,9,6,1,0,0,TRUE,TRUE,TRUE,1,0,0,0,13,6,9
"414","req340","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","req341","uc1",1,"description",TRUE,"title; main scenario; assumptions; dependencies; additional information; postconditions","Business Requirements","System",TRUE,TRUE,0.808744970476255,5,5,0,2,2,TRUE,TRUE,FALSE,0,0,0,0,6,3,6
"416","req341","uc2",1,"description",TRUE,"title; main scenario; assumptions; dependencies; additional information; postconditions","Business Requirements","System",TRUE,TRUE,0.00397692597471178,5,4,0,1,0,TRUE,TRUE,TRUE,0,0,0,0,5,3,1
"417","req342","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","req342","uc2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","req344","uc1",2,"description",TRUE,"title; main scenario; limitations; dependencies; solution hints; level; postconditions; revision history; preconditions","Business Requirements","User",TRUE,FALSE,0.352875485084951,9,5,1,0,1,TRUE,TRUE,FALSE,2,1,1,0,12,6,10
"420","req345","uc1",3,"description",TRUE,"title; main scenario; preconditions; revision history; dependencies; solution hints; extensions; limitations; level; actor","Business Background","System",TRUE,TRUE,0.455866381758824,10,9,1,3,0,TRUE,TRUE,TRUE,1,0,0,0,11,1,3
"421","req345","uc2",3,"description",TRUE,"title; main scenario; preconditions; revision history; dependencies; solution hints; extensions; limitations; level; actor","Business Requirements","Business",TRUE,TRUE,0.996369566768408,9,7,0,2,1,TRUE,TRUE,TRUE,4,2,1,0,15,8,9
"422","req346","uc1",1,"description",TRUE,"title; main scenario; preconditions; level; additional information; solution hints; assumptions; limitations; revision history","Solution Proposal","Business",TRUE,FALSE,0.451369385700673,6,4,2,1,0,TRUE,TRUE,TRUE,1,2,1,1,6,3,5
"423","req346","uc2",1,"description",TRUE,"title; main scenario; preconditions; level; additional information; solution hints; assumptions; limitations; revision history","Solution Proposal","User",TRUE,TRUE,0.540953789371997,3,2,0,0,0,TRUE,TRUE,TRUE,0,1,1,0,4,2,3
"424","req347","uc1",2,"description",TRUE,"title; main scenario; assumptions; solution hints; revision history; dependencies; additional information; level; extensions; postconditions","Business Background","(no level)",TRUE,TRUE,0.59452752280049,7,6,2,0,1,TRUE,TRUE,TRUE,1,3,1,0,8,3,6
"425","req347","uc2",2,"description",TRUE,"title; main scenario; assumptions; solution hints; revision history; dependencies; additional information; level; extensions; postconditions","default","User",TRUE,TRUE,0.141131045063958,6,5,2,1,0,TRUE,TRUE,TRUE,0,0,0,0,8,5,3
"426","req348","uc1",2,"description",TRUE,"title; main scenario; limitations; actor; assumptions; additional information; solution hints; postconditions","default","User",TRUE,TRUE,0.0989913600496948,7,5,1,1,0,TRUE,TRUE,TRUE,0,1,1,0,9,2,7
"427","req349","uc1",3,"description",TRUE,"title; main scenario; extensions; actor; level; dependencies; limitations","default","(no level)",TRUE,FALSE,0.421920286258683,8,6,0,3,1,TRUE,TRUE,FALSE,0,1,1,0,7,3,2
"428","req349","uc2",3,"description",TRUE,"title; main scenario; extensions; actor; level; dependencies; limitations","default","(no level)",TRUE,TRUE,0.8998542802874,10,6,0,3,2,TRUE,TRUE,TRUE,0,0,0,0,15,6,9
"429","req35","uc1",3,"description",TRUE,"title; main scenario; dependencies; actor; assumptions; revision history; preconditions; limitations","Business Background","(no level)",TRUE,FALSE,0.598691518884152,9,8,1,0,0,TRUE,TRUE,TRUE,1,1,1,0,11,3,8
"430","req35","uc2",3,"description",TRUE,"title; main scenario; dependencies; actor; assumptions; revision history; preconditions; limitations","Business Background","System",TRUE,TRUE,0.079939006594941,11,9,1,1,0,TRUE,TRUE,TRUE,1,2,0,0,15,1,6
"431","req353","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","req353","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","req353","uc3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","req354","uc1",3,"description",TRUE,"title; main scenario; level; solution hints; additional information; assumptions; postconditions; extensions","Business Background","System",TRUE,TRUE,0.87199967331253,8,8,1,1,2,TRUE,TRUE,TRUE,1,1,1,0,11,9,8
"435","req356","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","req357","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","req357","uc2",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","req358","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","req358","uc2",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","req359","uc1",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","req36","uc1",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","req36","uc2",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","req36","uc3",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","req361","uc1",3,"description",TRUE,"title; main scenario; postconditions; revision history; dependencies; solution hints; additional information; level; actor","default","User",FALSE,TRUE,0.843240053625777,7,5,1,0,1,TRUE,TRUE,TRUE,1,0,0,0,7,1,3
"445","req361","uc2",3,"description",TRUE,"title; main scenario; postconditions; revision history; dependencies; solution hints; additional information; level; actor","Business Background","(no level)",TRUE,TRUE,0.843410688452423,10,9,1,2,1,TRUE,TRUE,TRUE,1,1,1,1,12,7,6
"446","req362","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","req362","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","req363","uc1",1,"description",TRUE,"title; main scenario; limitations; actor; solution hints; preconditions; level; revision history","Solution Proposal","(no level)",TRUE,TRUE,0.727028948254883,8,5,3,2,1,TRUE,TRUE,TRUE,0,0,0,0,11,2,7
"449","req363","uc2",1,"description",TRUE,"title; main scenario; limitations; actor; solution hints; preconditions; level; revision history","Business Background","User",TRUE,TRUE,0.511491961078718,6,4,1,1,1,TRUE,TRUE,TRUE,1,0,0,0,5,1,3
"450","req363","uc3",1,"description",TRUE,"title; main scenario; limitations; actor; solution hints; preconditions; level; revision history","default","Business",FALSE,TRUE,0.12149854330346,7,4,1,1,0,TRUE,TRUE,TRUE,1,1,1,1,12,4,7
"451","req365","uc1",1,"description",TRUE,"title; main scenario; additional information; solution hints; preconditions","default","Business",TRUE,TRUE,0.923929349984974,7,5,1,1,0,TRUE,TRUE,TRUE,0,1,0,0,9,1,7
"452","req365","uc2",1,"description",TRUE,"title; main scenario; additional information; solution hints; preconditions","default","Business",TRUE,TRUE,0.940579347778112,9,9,0,3,1,TRUE,TRUE,TRUE,1,1,1,0,10,3,5
"453","req365","uc3",1,"description",TRUE,"title; main scenario; additional information; solution hints; preconditions","Business Requirements","System",TRUE,TRUE,0.261581624858081,5,5,1,2,0,TRUE,TRUE,TRUE,1,0,0,0,6,3,4
"454","req366","uc1",2,"description",TRUE,"title; main scenario; actor; postconditions; dependencies; level; revision history","Business Background","Business",TRUE,TRUE,0.259271729271859,7,6,1,1,0,TRUE,TRUE,TRUE,1,1,1,0,10,6,4
"455","req367","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","req369","uc1",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","req369","uc2",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","req37","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","req37","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","req37","uc3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","req370","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","req370","uc2",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","req371","uc1",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","req371","uc2",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","req371","uc3",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","req372","uc1",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","req372","uc2",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","req372","uc3",3,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","req373","uc1",1,"description",TRUE,"title; main scenario; revision history; extensions; actor; dependencies","default","(no level)",FALSE,TRUE,0.925650799181312,6,4,0,1,1,TRUE,TRUE,TRUE,0,1,1,0,10,6,7
"470","req373","uc2",1,"description",TRUE,"title; main scenario; revision history; extensions; actor; dependencies","default","Business",TRUE,TRUE,0.266489846166223,5,5,0,2,0,TRUE,TRUE,TRUE,1,1,1,0,3,0,1
"471","req373","uc3",1,"description",TRUE,"title; main scenario; revision history; extensions; actor; dependencies","default","System",TRUE,TRUE,1.54681038111448e-05,8,6,0,1,1,TRUE,TRUE,TRUE,2,0,0,0,7,3,4
"472","req374","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","req374","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","req376","uc1",3,"description",TRUE,"title; main scenario; postconditions; limitations; actor; preconditions; level; additional information; dependencies; assumptions","Solution Proposal","User",TRUE,TRUE,0.911935527808964,7,7,3,1,0,TRUE,TRUE,TRUE,1,2,1,1,7,3,2
"475","req377","uc1",3,"description",TRUE,"title; main scenario; postconditions; actor; extensions","Business Requirements","(no level)",TRUE,TRUE,0.0980501419398934,5,4,0,0,0,TRUE,TRUE,TRUE,1,1,1,0,5,3,3
"476","req378","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","req379","uc1",3,"description",TRUE,"title; main scenario; actor; limitations; preconditions; postconditions","Business Requirements","System",TRUE,TRUE,0.90409047761932,11,11,0,4,0,TRUE,TRUE,FALSE,1,2,0,0,14,5,7
"478","req379","uc2",3,"description",TRUE,"title; main scenario; actor; limitations; preconditions; postconditions","Solution Proposal","(no level)",TRUE,TRUE,0.0221061545889825,8,4,1,1,0,TRUE,TRUE,TRUE,0,0,0,0,8,0,4
"479","req379","uc3",3,"description",TRUE,"title; main scenario; actor; limitations; preconditions; postconditions","Business Requirements","(no level)",TRUE,TRUE,0.675710787530988,10,10,1,3,1,TRUE,TRUE,TRUE,1,1,0,0,13,6,7
"480","req38","uc1",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","req38","uc2",1,"user story",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","req380","uc1",1,"description",TRUE,"title; main scenario; postconditions; additional information; actor; extensions","default","System",TRUE,FALSE,0.914717060979456,9,7,0,4,0,FALSE,TRUE,TRUE,0,0,0,0,7,3,4
"483","req380","uc2",1,"description",TRUE,"title; main scenario; postconditions; additional information; actor; extensions","Solution Proposal","System",TRUE,TRUE,0.287697260500863,5,5,2,2,0,TRUE,TRUE,TRUE,0,2,1,0,5,3,3
"484","req380","uc3",1,"description",TRUE,"title; main scenario; postconditions; additional information; actor; extensions","Business Requirements","User",TRUE,TRUE,0.75378367700614,5,3,0,1,1,TRUE,TRUE,TRUE,1,0,0,0,5,1,2
"485","req382","uc1",3,"description",TRUE,"title; main scenario; revision history; postconditions; preconditions; level; dependencies; actor; additional information; assumptions; limitations","Business Requirements","Business",TRUE,FALSE,0.433570444816723,11,10,0,0,1,FALSE,TRUE,TRUE,4,2,0,0,13,5,10
"486","req382","uc2",3,"description",TRUE,"title; main scenario; revision history; postconditions; preconditions; level; dependencies; actor; additional information; assumptions; limitations","default","User",TRUE,TRUE,0.624054611427709,12,8,2,2,1,TRUE,TRUE,TRUE,1,1,0,0,12,3,7
"487","req382","uc3",3,"description",TRUE,"title; main scenario; revision history; postconditions; preconditions; level; dependencies; actor; additional information; assumptions; limitations","default","System",TRUE,TRUE,0.986784290755168,10,9,1,1,1,TRUE,TRUE,TRUE,0,0,0,0,13,3,7
